C-16 POPULATION BY MOTHER TONGUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table,State,District,Town,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,code,,tongue,,P,M,F,P,M,F,P,M,F
,,,,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,29,000,000000,KARNATAKA,022999,22 Others,255,136,119,0,0,0,255,136,119
C0116,29,000,000000,KARNATAKA,023000,23 ADI ,104,50,54,0,0,0,104,50,54
C0116,29,000,000000,KARNATAKA,023003, Adi,48,23,25,0,0,0,48,23,25
C0116,29,000,000000,KARNATAKA,023006, Adi Gallong/Gallong,7,0,7,0,0,0,7,0,7
C0116,29,000,000000,KARNATAKA,023010, Adi Miniyong/Miniyong,1,0,1,0,0,0,1,0,1
C0116,29,000,000000,KARNATAKA,023040, Talgalo,20,12,8,0,0,0,20,12,8
C0116,29,000,000000,KARNATAKA,023999,23 Others,28,15,13,0,0,0,28,15,13
C0116,29,000,000000,KARNATAKA,024000,24 AFGHANI/KABULI/PASHTO ,27,27,0,0,0,0,27,27,0
C0116,29,000,000000,KARNATAKA,024001, Afghani/Kabuli/Pashto,21,21,0,0,0,0,21,21,0
C0116,29,000,000000,KARNATAKA,024999,24 Others,6,6,0,0,0,0,6,6,0
C0116,29,000,000000,KARNATAKA,025000,25 ANAL ,12,5,7,0,0,0,12,5,7
C0116,29,000,000000,KARNATAKA,025001, Anal,12,5,7,0,0,0,12,5,7
C0116,29,000,000000,KARNATAKA,026000,26 ANGAMI ,55,23,32,0,0,0,55,23,32
C0116,29,000,000000,KARNATAKA,026002, Angami,49,22,27,0,0,0,49,22,27
C0116,29,000,000000,KARNATAKA,026999,26 Others,6,1,5,0,0,0,6,1,5
C0116,29,000,000000,KARNATAKA,027000,27 AO ,56,29,27,0,0,0,56,29,27
C0116,29,000,000000,KARNATAKA,027001, Ao,24,11,13,0,0,0,24,11,13
C0116,29,000,000000,KARNATAKA,027005, Mongsen,1,0,1,0,0,0,1,0,1
C0116,29,000,000000,KARNATAKA,027999,27 Others,31,18,13,0,0,0,31,18,13
C0116,29,000,000000,KARNATAKA,028000,28 ARABIC/ARBI ,607,444,163,0,0,0,607,444,163
C0116,29,000,000000,KARNATAKA,028001, Arabic/Arbi,607,444,163,0,0,0,607,444,163
C0116,29,000,000000,KARNATAKA,030000,30 BHILI/BHILODI ,954,475,479,0,0,0,954,475,479
C0116,29,000,000000,KARNATAKA,030002, Baori,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,030003, Barel,1,1,0,0,0,0,1,1,0
C0116,29,000,000000,KARNATAKA,030007, Bhili/Bhilodi,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,030011, Chodhari,29,15,14,0,0,0,29,15,14
C0116,29,000,000000,KARNATAKA,030035, Kokna/Kokni/Kukna,37,19,18,0,0,0,37,19,18
C0116,29,000,000000,KARNATAKA,030049, Mawchi,5,4,1,0,0,0,5,4,1
C0116,29,000,000000,KARNATAKA,030066, Paradhi,257,128,129,0,0,0,257,128,129
C0116,29,000,000000,KARNATAKA,030073, Tadavi,3,1,2,0,0,0,3,1,2
C0116,29,000,000000,KARNATAKA,030078, Wagdi,182,90,92,0,0,0,182,90,92
C0116,29,000,000000,KARNATAKA,030999,30 Others,434,214,220,0,0,0,434,214,220
C0116,29,000,000000,KARNATAKA,031000,31 BHOTIA ,400,206,194,0,0,0,400,206,194
C0116,29,000,000000,KARNATAKA,031001, Bhotia,22,10,12,0,0,0,22,10,12
C0116,29,000,000000,KARNATAKA,031999,31 Others,378,196,182,0,0,0,378,196,182
C0116,29,000,000000,KARNATAKA,032000,32 BHUMIJ ,9,6,3,0,0,0,9,6,3
C0116,29,000,000000,KARNATAKA,032999,32 Others,9,6,3,0,0,0,9,6,3
C0116,29,000,000000,KARNATAKA,033000,33 BISHNUPURIYA,15,9,6,0,0,0,15,9,6
C0116,29,000,000000,KARNATAKA,033003, Bishnupriya Manipuri/Manipuri Bishnupriya,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,033999,33 Others,13,8,5,0,0,0,13,8,5
C0116,29,000,000000,KARNATAKA,034000,34 CHAKHESANG ,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,034001, Chakhesang,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,035000,35 CHAKRU/CHOKRI ,13,6,7,0,0,0,13,6,7
C0116,29,000,000000,KARNATAKA,035001, Chakru/Chokri,13,6,7,0,0,0,13,6,7
C0116,29,000,000000,KARNATAKA,036000,36 CHANG ,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,036001, Chang,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,037000,37 COORGI/KODAGU ,34087,16545,17542,0,0,0,34087,16545,17542
C0116,29,000,000000,KARNATAKA,037001, Coorgi/Kodagu,12937,6250,6687,0,0,0,12937,6250,6687
C0116,29,000,000000,KARNATAKA,037003, Kodava,21150,10295,10855,0,0,0,21150,10295,10855
C0116,29,000,000000,KARNATAKA,038000,38 DEORI ,17,9,8,0,0,0,17,9,8
C0116,29,000,000000,KARNATAKA,038001, Deori,17,9,8,0,0,0,17,9,8
C0116,29,000,000000,KARNATAKA,039000,39 DIMASA ,18,13,5,0,0,0,18,13,5
C0116,29,000,000000,KARNATAKA,039002, Dimasa,18,13,5,0,0,0,18,13,5
C0116,29,000,000000,KARNATAKA,040000,40 ENGLISH ,21536,10800,10736,0,0,0,21536,10800,10736
C0116,29,000,000000,KARNATAKA,040001, English,21536,10800,10736,0,0,0,21536,10800,10736
C0116,29,000,000000,KARNATAKA,041000,41 GADABA ,4,1,3,0,0,0,4,1,3
C0116,29,000,000000,KARNATAKA,041001, Gadaba,4,1,3,0,0,0,4,1,3
C0116,29,000,000000,KARNATAKA,042000,42 GANGTE ,10,6,4,0,0,0,10,6,4
C0116,29,000,000000,KARNATAKA,042001, Gangte,10,6,4,0,0,0,10,6,4
C0116,29,000,000000,KARNATAKA,043000,43 GARO ,36,15,21,0,0,0,36,15,21
C0116,29,000,000000,KARNATAKA,043005, Garo,36,15,21,0,0,0,36,15,21
C0116,29,000,000000,KARNATAKA,044000,44 GONDI,860,415,445,0,0,0,860,415,445
C0116,29,000,000000,KARNATAKA,044002, Dorli,1,1,0,0,0,0,1,1,0
C0116,29,000,000000,KARNATAKA,044007, Gondi,729,354,375,0,0,0,729,354,375
C0116,29,000,000000,KARNATAKA,044013, Kalari,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,044017, Maria/ Muria,4,1,3,0,0,0,4,1,3
C0116,29,000,000000,KARNATAKA,044999,44 Others,122,57,65,0,0,0,122,57,65
C0116,29,000,000000,KARNATAKA,045000,45 HALABI,63,31,32,0,0,0,63,31,32
C0116,29,000,000000,KARNATAKA,045999,45 Others,63,31,32,0,0,0,63,31,32
C0116,29,000,000000,KARNATAKA,046000,46 HALAM ,7,5,2,0,0,0,7,5,2
C0116,29,000,000000,KARNATAKA,046003, Halam,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,046999,46 Others,3,3,0,0,0,0,3,3,0
C0116,29,000,000000,KARNATAKA,047000,47 HMAR,24,10,14,0,0,0,24,10,14
C0116,29,000,000000,KARNATAKA,047001, Hmar,24,10,14,0,0,0,24,10,14
C0116,29,000,000000,KARNATAKA,048000,48 HO,23,11,12,0,0,0,23,11,12
C0116,29,000,000000,KARNATAKA,048004, Ho,15,8,7,0,0,0,15,8,7
C0116,29,000,000000,KARNATAKA,048007, Lohara,8,3,5,0,0,0,8,3,5
C0116,29,000,000000,KARNATAKA,049000,49 JATAPU ,6,3,3,0,0,0,6,3,3
C0116,29,000,000000,KARNATAKA,049999,49 Others,6,3,3,0,0,0,6,3,3
C0116,29,000,000000,KARNATAKA,051000,51 KABUI ,44,25,19,0,0,0,44,25,19
C0116,29,000,000000,KARNATAKA,051003, Kabui,6,4,2,0,0,0,6,4,2
C0116,29,000,000000,KARNATAKA,051005, Rongmei,38,21,17,0,0,0,38,21,17
C0116,29,000,000000,KARNATAKA,052000,52 KARBI/MIKIR ,31,24,7,0,0,0,31,24,7
C0116,29,000,000000,KARNATAKA,052002, Karbi/Mikir,31,24,7,0,0,0,31,24,7
C0116,29,000,000000,KARNATAKA,053000,53 KHANDESHI,3,2,1,0,0,0,3,2,1
C0116,29,000,000000,KARNATAKA,053002, Ahirani,3,2,1,0,0,0,3,2,1
C0116,29,000,000000,KARNATAKA,054000,54 KHARIA ,48,13,35,0,0,0,48,13,35
C0116,29,000,000000,KARNATAKA,054005, Kharia,46,13,33,0,0,0,46,13,33
C0116,29,000,000000,KARNATAKA,054999,54 Others,2,0,2,0,0,0,2,0,2
C0116,29,000,000000,KARNATAKA,055000,55 KHASI ,261,114,147,0,0,0,261,114,147
C0116,29,000,000000,KARNATAKA,055007, Khasi,200,89,111,0,0,0,200,89,111
C0116,29,000,000000,KARNATAKA,055009, Lyngngam,1,1,0,0,0,0,1,1,0
C0116,29,000,000000,KARNATAKA,055012, Pnar/Synteng,57,23,34,0,0,0,57,23,34
C0116,29,000,000000,KARNATAKA,055999,55 Others ,3,1,2,0,0,0,3,1,2
C0116,29,000,000000,KARNATAKA,056000,56 KHEZHA ,11,5,6,0,0,0,11,5,6
C0116,29,000,000000,KARNATAKA,056003, Khezha,7,3,4,0,0,0,7,3,4
C0116,29,000,000000,KARNATAKA,056999,56 Others ,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,057000,57 KHIEMNUNGAN,6,3,3,0,0,0,6,3,3
C0116,29,000,000000,KARNATAKA,057999,57 Others ,6,3,3,0,0,0,6,3,3
C0116,29,000,000000,KARNATAKA,058000,58 KHOND/KONDH ,7,4,3,0,0,0,7,4,3
C0116,29,000,000000,KARNATAKA,058001, Khond/Kondh,7,4,3,0,0,0,7,4,3
C0116,29,000,000000,KARNATAKA,059000,59 KINNAURI ,20,12,8,0,0,0,20,12,8
